Latitude,Longitude,Crime Description,Count,Hour,Crime Frequency
33.7059,-118.2914,CRIMINAL THREATS - NO WEAPON DISPLAYED,1,16,1
33.7061,-118.292,TRESPASSING,2,10,2
33.7064,-118.2926,BURGLARY,3,16,2
33.7064,-118.2907,INTIMATE PARTNER - SIMPLE ASSAULT,1,2,1
33.7065,-118.2929,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,15,1
33.7065,-118.2928,BURGLARY FROM VEHICLE,1,14,1
33.7068,-118.2929,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,10,1
33.707,-118.2939,TRESPASSING,2,16,3
33.707,-118.2936,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",4,8,4
33.707,-118.2929,TRESPASSING,5,20,5
33.707,-118.2918,CRIMINAL THREATS - NO WEAPON DISPLAYED,3,15,2
33.707,-118.2917,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,1,1
33.707,-118.2912,ROBBERY,1,21,1
33.707,-118.2907,THEFT OF IDENTITY,2,20,2
33.707,-118.2899,VEHICLE - STOLEN,3,23,3
33.707,-118.2885,INTIMATE PARTNER - SIMPLE ASSAULT,2,20,2
33.707,-118.2879,VEHICLE - STOLEN,3,0,1
33.7071,-118.288,VEHICLE - STOLEN,1,20,1
33.7074,-118.2929,THEFT PLAIN - PETTY ($950 & UNDER),1,16,1
33.7076,-118.2879,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,20,1
33.7079,-118.2929,VEHICLE - STOLEN,2,11,2
33.7079,-118.2918,INTIMATE PARTNER - SIMPLE ASSAULT,4,4,5
33.7079,-118.2916,INTIMATE PARTNER - SIMPLE ASSAULT,1,1,1
33.7079,-118.2907,VEHICLE - STOLEN,2,19,2
33.7079,-118.29,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,0,1
33.7079,-118.2886,CRIMINAL THREATS - NO WEAPON DISPLAYED,1,15,1
33.7079,-118.2885,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,14,3
33.7079,-118.2879,BURGLARY,2,0,2
33.7079,-118.2864,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2,11,3
33.7079,-118.2861,BATTERY - SIMPLE ASSAULT,1,4,1
33.7087,-118.2929,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,17,1
33.7087,-118.2912,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,12,1
33.7087,-118.2907,VEHICLE - STOLEN,2,9,1
33.7087,-118.2899,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,1,1
33.7087,-118.2879,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2,12,2
33.7087,-118.2863,VEHICLE - STOLEN,3,15,3
33.7088,-118.2919,VEHICLE - STOLEN,3,6,2
33.7088,-118.2887,BATTERY - SIMPLE ASSAULT,1,11,1
33.7088,-118.2879,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,13,1
33.7089,-118.2855,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2,2,1
33.7091,-118.2855,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2,12,2
33.7092,-118.2907,BURGLARY,1,6,1
33.7096,-118.2928,BURGLARY FROM VEHICLE,2,16,3
33.7096,-118.2924,INTIMATE PARTNER - AGGRAVATED ASSAULT,1,0,1
33.7096,-118.2916,VEHICLE - STOLEN,3,17,2
33.7096,-118.2912,BURGLARY FROM VEHICLE,1,15,1
33.7096,-118.2907,VEHICLE - STOLEN,1,14,1
33.7096,-118.29,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,0,2
33.7096,-118.2892,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,0,1
33.7096,-118.2885,INTIMATE PARTNER - SIMPLE ASSAULT,3,4,2
33.7096,-118.2879,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,16,2
33.7096,-118.2863,DOCUMENT FORGERY / STOLEN FELONY,1,3,1
33.7096,-118.2862,INTIMATE PARTNER - SIMPLE ASSAULT,2,4,1
33.7096,-118.2856,BURGLARY FROM VEHICLE,3,5,1
33.7101,-118.2907,VEHICLE - STOLEN,2,8,2
33.7101,-118.2879,"THEFT, PERSON",1,1,1
33.7101,-118.2867,INTIMATE PARTNER - SIMPLE ASSAULT,3,8,2
33.7105,-118.286,BATTERY - SIMPLE ASSAULT,2,14,2
33.7106,-118.2929,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,18,1
33.7106,-118.2921,INTIMATE PARTNER - SIMPLE ASSAULT,10,1,4
33.7106,-118.2917,VEHICLE - STOLEN,3,16,2
33.7106,-118.2916,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,7,1
33.7106,-118.2912,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,9,1
33.7106,-118.2907,THEFT OF IDENTITY,1,12,1
33.7106,-118.29,VEHICLE - STOLEN,3,4,2
33.7106,-118.2879,BRANDISH WEAPON,2,9,1
33.7106,-118.2871,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2,17,3
33.7108,-118.2985,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,4,1
33.7108,-118.2862,BURGLARY,5,9,5
33.7109,-118.2993,BATTERY WITH SEXUAL CONTACT,1,23,1
33.7111,-118.2929,VEHICLE - STOLEN,2,22,2
33.7111,-118.2865,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",4,0,3
33.7112,-118.2879,BATTERY - SIMPLE ASSAULT,2,17,3
33.7113,-118.3015,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,15,3
33.7113,-118.2931,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,11,1
33.7114,-118.2867,BATTERY - SIMPLE ASSAULT,1,1,1
33.7115,-118.2928,ROBBERY,2,2,2
33.7115,-118.2916,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2,5,2
33.7115,-118.2912,CRIMINAL HOMICIDE,1,16,1
33.7115,-118.2907,VEHICLE - STOLEN,5,1,2
33.7115,-118.2889,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",5,19,2
33.7115,-118.2885,INTIMATE PARTNER - SIMPLE ASSAULT,1,22,1
33.7115,-118.2879,VIOLATION OF RESTRAINING ORDER,3,15,2
33.7115,-118.2874,BATTERY - SIMPLE ASSAULT,3,22,3
33.7116,-118.2981,BURGLARY,3,9,1
33.7117,-118.3024,VEHICLE - STOLEN,1,19,1
33.7117,-118.3019,ROBBERY,1,22,1
33.7117,-118.2898,INTIMATE PARTNER - SIMPLE ASSAULT,2,0,1
33.7117,-118.2897,VEHICLE - STOLEN,2,6,2
33.7119,-118.299,THEFT OF IDENTITY,2,0,1
33.7122,-118.3,BURGLARY FROM VEHICLE,2,4,1
33.7124,-118.3043,BRANDISH WEAPON,2,15,2
33.7124,-118.2911,INTIMATE PARTNER - SIMPLE ASSAULT,1,15,1
33.7124,-118.2907,DISCHARGE FIREARMS/SHOTS FIRED,1,10,1
33.7124,-118.2889,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,20,2
33.7125,-118.3009,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,2,1
